Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Haason Reddick,vs BUF,NFL,Sacks,0.25,0.93,271.56%
Matty Cash,@ TOT,SOCCER,Shots,0.5,1.46,192.00%
Kevin Vogt,vs M05,SOCCER,Interceptions,0.5,1.39,178.00%
Ander Barrenetxea,vs SEV,SOCCER,Shots,1.5,4.14,176.00%
Igor Zubeldia,vs SEV,SOCCER,Interceptions,0.5,1.34,168.00%
Ivan Rakitic,@ RSO,SOCCER,Interceptions,0.5,1.32,164.00%
Federico Chiesa,vs INT,SOCCER,Shots on Target,0.5,1.31,162.00%
Kelly Olynyk,vs NOP,NBA,3-PT Made,0.5,1.29,157.78%
Stefan Bell,@ TSG,SOCCER,Interceptions,0.5,1.25,150.00%
Youssef En-Nesyri,@ RSO,SOCCER,Shots on Target,0.5,1.22,144.00%
Mikel Merino,vs SEV,SOCCER,Interceptions,0.5,1.17,134.00%
Ochai Agbaji,vs NOP,NBA,Turnovers,0.5,1.16,132.68%
Ludovic Ajorque,@ TSG,SOCCER,Shots on Target,0.5,1.16,132.00%
Amine Gouiri,vs SR,SOCCER,Shots on Target,0.5,1.15,130.00%
Edon Zhegrova,@ OL,SOCCER,Shots,1.5,3.41,127.33%
Frank Magri,@ NIC,SOCCER,Shots on Target,0.5,1.11,122.00%
Lucas Ocampos,@ RSO,SOCCER,Interceptions,0.5,1.10,120.00%
Josh AlIen,@ HOU,NFL,Sacks,0.25,0.55,119.21%
Tyler Allgeier,vs NO,NFL,Receiving Yards,3.5,7.57,116.34%
Alejandro Catena,@ VIL,SOCCER,Interceptions,0.5,1.08,116.00%
Josh Sweat,vs BUF,NFL,Sacks,0.25,0.53,110.55%
Takefusa Kubo,vs SEV,SOCCER,Shots,2,4.12,106.00%
Edon Zhegrova,@ OL,SOCCER,Shots on Target,0.5,1.02,104.00%
Tyler Scott,@ MIN,NFL,Receiving Yards,7.5,15.27,103.62%
Roschon Johnson,@ MIN,NFL,Receiving Yards,6.5,13.14,102.15%
Takefusa Kubo,vs SEV,SOCCER,Shots on Target,0.5,1.01,102.00%
Montez Sweat,@ MIN,NFL,Sacks,0.25,0.50,101.53%
Shea Theodore,vs ARI,NHL,Assists,0.5,0.00,-100.00%
George Karlaftis,@ LV,NFL,Sacks,0.25,0.50,99.82%
Gardner Minshew,vs TB,NFL,INT,0.5,0.99,98.00%
Amine Salama,@ REN,SOCCER,Shots,1.5,2.93,95.33%
Marcus Thuram,@ JUV,SOCCER,Shots on Target,0.5,0.97,94.00%
Aaron Donald,@ ARI,NFL,Sacks,0.25,0.48,91.54%
Khalil Mack,vs BAL,NFL,Sacks,0.25,0.48,90.72%
Terem Moffi,vs TFC,SOCCER,Shots,2,3.81,90.50%
Latavius Murray,@ PHI,NFL,Receiving Yards,5.5,10.45,90.00%
Desmond Ridder,vs NO,NFL,INT,0.5,0.95,90.00%
Ochai Agbaji,vs NOP,NBA,Points,6.5,12.33,89.75%
Kris Dunn,vs NOP,NBA,Blks+Stls,1.5,0.22,-85.22%
Yusuf Yazici,@ OL,SOCCER,Shots on Target,0.5,0.92,84.00%
Trevor Lawrence,@ HOU,NFL,INT,0.5,0.91,82.00%
Kris Dunn,vs NOP,NBA1H,Pts+Rebs+Asts,10.5,1.92,-81.73%
Kris Dunn,vs NOP,NBA1H,Points,5.5,1.04,-81.05%
Kris Dunn,vs NOP,NBA,Pts+Rebs,15,2.88,-80.80%
Kris Dunn,vs NOP,NBA,Pts+Rebs+Asts,19.5,3.84,-80.33%
Kris Dunn,vs NOP,NBA,Points,10.5,2.08,-80.15%
Youssef En-Nesyri,@ RSO,SOCCER,Shots,2,3.60,80.00%
Jonathan Huberdeau,@ COL,NHL,Points,0.5,0.89,78.31%
Kris Dunn,vs NOP,NBA,Rebs+Asts,8,1.75,-78.11%
Federico Chiesa,vs INT,SOCCER,Shots,2,3.56,78.00%
Yann Sommer,@ JUV,SOCCER,Goalie Saves,2.5,4.44,77.60%
Kris Dunn,vs NOP,NBA,Rebounds,3.5,0.80,-77.25%
Kris Dunn,vs NOP,NBA,Assists,4,0.96,-76.12%
Frank Magri,@ NIC,SOCCER,Shots,1.5,2.61,74.00%
