Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Alperen Sengun,@ GSW,NBA,Blocked Shots,0.5,1.16,131.36%
Mitchell Robinson,@ MIN,NBA,Assists,0.5,1.09,118.11%
Josh Richardson,@ CHI,NBA,Steals,0.5,1.02,103.57%
Jabari Smith Jr.,@ GSW,NBA,Blocked Shots,0.5,0.95,90.61%
Jaden McDaniels,vs NYK,NBA,Steals,0.5,0.93,85.53%
Jaime Jaquez Jr.,@ CHI,NBA,Steals,0.5,0.92,84.67%
Mitchell Robinson,@ MIN,NBA,Turnovers,0.5,0.90,80.83%
Malik Monk,@ NOP,NBA,Steals,0.5,0.90,80.63%
Fred VanVleet,@ GSW,NBA,Blks+Stls,1.5,2.50,66.69%
Immanuel Quickley,@ MIN,NBA,Steals,0.5,0.83,66.05%
Rudy Gobert,vs NYK,NBA,Steals,0.5,0.83,65.29%
Jaden McDaniels,vs NYK,NBA,Rebounds,2.5,4.04,61.73%
Josh Richardson,@ CHI,NBA,Points,7.5,11.94,59.20%
Jordan Hawkins,vs SAC,NBA,Steals,0.5,0.79,58.57%
Jaden McDaniels,vs NYK,NBA,Blocked Shots,0.5,0.79,57.14%
Nikola Vucevic,vs MIA,NBA,Blocked Shots,0.5,0.77,54.74%
Immanuel Quickley,@ MIN,NBA,Rebounds,2.5,3.85,54.14%
Stephen Curry,vs HOU,NBA,Assists,4,5.99,49.67%
Kyle Lowry,@ CHI,NBA,Points,7.5,11.20,49.31%
Klay Thompson,vs HOU,NBA,Steals,0.5,0.74,48.62%
Zach Collins,vs LAC,NBA,Rebounds,6.5,9.16,40.90%
Domantas Sabonis,@ NOP,NBA,Blocked Shots,0.5,0.70,40.46%
De'Aaron Fox,@ NOP,NBA,Rebounds,4,5.61,40.16%
Karl-Anthony Towns,vs NYK,NBA,Steals,0.5,0.70,39.63%
Nikola Vucevic,vs MIA,NBA,Steals,0.5,0.69,37.98%
Dillon Brooks,@ GSW,NBA,3-PT Made,1.5,2.06,37.58%
Julius Randle,@ MIN,NBA,Steals,0.5,0.68,36.44%
Josh Hart,@ MIN,NBA,Points,6.5,8.83,35.79%
Josh Hart,@ MIN,NBA,Rebounds,5,6.76,35.11%
Keldon Johnson,vs LAC,NBA,Turnovers,1.5,2.03,35.10%
Fred VanVleet,@ GSW,NBA,Rebounds,4,5.37,34.30%
Duncan Robinson,@ CHI,NBA,Steals,0.5,0.67,34.25%
Mike Conley,vs NYK,NBA,Free Throws Made,1.5,1.99,32.92%
Kyle Lowry,@ CHI,NBA,Pts+Rebs,11.5,15.25,32.58%
Kyle Lowry,@ CHI,NBA,3-PT Made,1.5,1.98,31.68%
Alperen Sengun,@ GSW,NBA,Rebounds,9.5,12.51,31.64%
Kawhi Leonard,@ SAS,NBA,Rebounds,6,7.80,29.94%
Jordan Hawkins,vs SAC,NBA,Points,11,14.25,29.57%
Julius Randle,@ MIN,NBA,Assists,5,3.54,-29.28%
Jaden McDaniels,vs NYK,NBA,Pts+Rebs,12.5,16.11,28.90%
Kyle Lowry,@ CHI,NBA,Pts+Asts,12.5,16.10,28.80%
Stephen Curry,vs HOU,NBA,Rebs+Asts,9.5,12.22,28.64%
Victor Wembanyama,vs LAC,NBA,Assists,2.5,3.21,28.50%
Josh Hart,@ MIN,NBA,Rebs+Asts,7.5,9.60,28.05%
DeMar DeRozan,vs MIA,NBA,Rebounds,4,5.12,27.94%
Jeremy Sochan,vs LAC,NBA,Rebounds,5,6.39,27.76%
Alex Caruso,vs MIA,NBA,Assists,2.5,3.19,27.53%
Andrew Wiggins,vs HOU,NBA,Free Throws Made,1.5,1.09,-27.27%
Kyle Lowry,@ CHI,NBA,Pts+Rebs+Asts,16,20.15,25.92%
Alex Caruso,vs MIA,NBA,3-PT Made,1.5,1.11,-25.90%
Alperen Sengun,@ GSW,NBA,Assists,5,3.71,-25.90%
Malik Monk,@ NOP,NBA,Pts+Rebs,16.5,20.72,25.59%
Zach Collins,vs LAC,NBA,Rebs+Asts,10.5,13.13,25.03%
Russell Westbrook,@ SAS,NBA,Rebounds,4,4.99,24.85%
